,Statement,Answer,Label,Type
10,"You -- honestly, Senator, you can roll out the numbers and the sunny side, but I got to tell you, people in Scranton know different. People in Fort Wayne, Indiana, know different. I mean, this economy is struggling. The answer to this economy is not more taxes.",But it's not the giveaway tax relief to the folks at the top.,3.0,raw
11,"['</s><s>""The answer to this economy is not more taxes,"" he says. ""People in Scranton know different. People in Fort Wayne, Indiana, know different,"" he adds. ""You can roll out the numbers and the sunny side, but I got to tell you, people inScranton and Fort Wayne know different""</s>']","[""</s><s>But it's not the giveaway tax relief to the folks at the top. It's the tax cuts for the rest of us, including the middle class and the poor. The tax cuts are not for everyone, but for the wealthy and middle class. They are also for the poor and the elderly, but not for the rich.</s>""]",3.0,summary
12,Good evening. Perhaps the most important aspect of this election is the Supreme Court justice. What would you prioritize as the most important aspect of selecting a Supreme Court justice?,"Thank you. Well, you're right. This is one of the most important issues in this election. I want to appoint Supreme Court justices who understand the way the world really works, who have real-life experience, who have not just been in a big law firm and maybe clerked for a judge and then gotten on the bench, but, you know, maybe they tried some more cases, they actually understand what people are up against. Because I think the current court has gone in the wrong direction. And so I would want to see the Supreme Court reverse Citizens United and get dark, unaccountable money out of our politics. Donald doesn't agree with that. I would like the Supreme Court to understand that voting rights are still a big problem in many parts of our country, that we don't always do everything we can to make it possible for people of color and older people and young people to be able to exercise their franchise. I want a Supreme Court that will stick with Roe v. Wade and a woman's right to choose, and I want a Supreme Court that will stick with marriage equality. Now, Donald has put forth the names of some people that he would consider. And among the ones that he has suggested are people who would reverse Roe v. Wade and reverse marriage equality. I think that would be a terrible mistake and would take us backwards. I want a Supreme Court that doesn't always side with corporate interests. I want a Supreme Court that understands because you're wealthy and you can give more money to something doesn't mean you have any more rights or should have any more rights than anybody else. So I have very clear views about what I want to see to kind of change the balance on the Supreme Court. And I regret deeply that the Senate has not done its job and they have not permitted a vote on the person that President Obama, a highly qualified person, they've not given him a vote to be able to be have the full complement of nine Supreme Court justices. I think that was a dereliction of duty. I hope that they will see their way to doing it, but if I am so fortunate enough as to be president, I will immediately move to make sure that we fill that, we have nine justices that get to work on behalf of our people. ",6.0,raw
13,"[""</s><s>What would you prioritize as the most important aspect of selecting a Supreme Court justice? Share your thoughts in the comments below. We'll feature the best responses at the bottom of the page. For more information on CNN iReport, go to www.cnn.com/politics.</s>""]","[""</s><s>I want to appoint Supreme Court justices who understand the way the world really works. I want a Supreme Court that will stick with Roe v. Wade and a woman's right to choose. I would like the Supreme Court to understand that voting rights are still a big problem in many parts of our country.</s>""]",6.0,summary
14,"But as President, you’re right. You want to be a leader, but you also are a leader and a setter of an example. And if you’re not wearing a mask when your administration is saying, “Best practice right now is wear a mask,” no, it’s not foolproof. But that will-","But many people are catching it. Many people are getting this disease that was sent to us by China, and it shouldn’t have been allowed to happen. But many people are getting this. And I mean, nobody’s being blamed. Everybody is working hard to get this thing out of our country, get it out of the world. Look at what’s going on in Europe, massive spikes. They’ve done a very good job, but now you take a look today at the UK, you take a look at Spain and France and Italy. There’s tremendous spikes.",4.0,raw
15,"[""</s><s>But as President, you're right. You want to be a leader, but you also are a leader and a setter of an example. And if you’re not wearing a mask when your administration is saying, “Best practice right now is wear a mask,” no, it’s not foolproof. But that will-</s>""]","[""</s><s>But many people are catching it. Many people are getting this disease that was sent to us by China, and it shouldn't have been allowed to happen. And I mean, nobody’s being blamed. Everybody is working hard to get this thing out of our country, get it out of the world.</s>""]",4.0,summary
16,"No, I didn't say that at all. I don't think you understood what was -- this was locker room talk. I'm not proud of it. I apologize to my family. I apologize to the American people. Certainly I'm not proud of it. But this is locker room talk. You know, when we have a world where you have ISIS chopping off heads, where you have -- and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times. We haven't seen anything like this, the carnage all over the world. And they look and they see. Can you imagine the people that are, frankly, doing so well against us with ISIS? And they look at our country and they see what's going on. Yes, I'm very embarrassed by it. I hate it. But it's locker room talk, and it's one of those things. I will knock the hell out of ISIS. We're going to defeat ISIS. ISIS happened a number of years ago in a vacuum that was left because of bad judgment. And I will tell you, I will take care of ISIS. ","Well, like everyone else, I've spent a lot of time thinking over the last 48 hours about what we heard and saw. You know, with prior Republican nominees for president, I disagreed with them on politics, policies, principles, but I never questioned their fitness to serve. Donald Trump is different. I said starting back in June that he was not fit to be president and commander-in-chief. And many Republicans and independents have said the same thing. What we all saw and heard on Friday was Donald talking about women, what he thinks about women, what he does to women. And he has said that the video doesn't represent who he is. But I think it's clear to anyone who heard it that it represents exactly who he is. Because we've seen this throughout the campaign. We have seen him insult women. We've seen him rate women on their appearance, ranking them from one to ten. We've seen him embarrass women on TV and on Twitter. We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms. So, yes, this is who Donald Trump is. But it's not only women, and it's not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African- Americans, Latinos, people with disabilities, POWs, Muslims, and so many others. So this is who Donald Trump is. And the question for us, the question our country must answer is that this is not who we are. That's why -- to go back to your question -- I want to send a message -- we all should -- to every boy and girl and, indeed, to the entire world that America already is great, but we are great because we are good, and we will respect one another, and we will work with one another, and we will celebrate our diversity.",4.0,raw
17,"[""</s><s>No, I didn't say that at all. I don't think you understood what was -- this was locker room talk. I will knock the hell out of ISIS. We're going to defeat ISIS. ISIS happened a number of years ago in a vacuum that was left because of bad judgment.</s>""]","[""</s><s>Donald Trump has said that the video doesn't represent who he is. But I think it's clear to anyone who heard it that it represents exactly who he was. We have seen this throughout the campaign. He has also targeted immigrants, African- Americans, Latinos, people with disabilities, POWs, Muslims.</s>""]",4.0,summary
18,"He went after Mr. and Mrs. Khan, the parents of a young man who died serving our country, a Gold Star family, because of their religion. He went after John McCain, a prisoner of war, said he prefers ""people who aren't captured."" He went after a federal judge, born in Indiana, but who Donald said couldn't be trusted to try the fraud and racketeering case against Trump University because his parents were Mexican. So it's not one thing. This is a pattern, a pattern of divisiveness, of a very dark and in many ways dangerous vision of our country, where he incites violence, where he applauds people who are pushing and pulling and punching at his rallies. That is not who America is. And I hope that as we move in the last weeks of this campaign, more and more people will understand what's at stake in this election. It really does come down to what kind of country we are going to have. ","So sad when she talks about violence at my rallies, and she caused the violence. It's on tape. ",1.0,raw
19,"['</s><s>He went after Mr. and Mrs. Khan, the parents of a young man who died serving our country, a Gold Star family, because of their religion. He went after John McCain, a prisoner of war, said he prefers ""people who aren\'t captured"" He said a federal judge, born in Indiana, couldn\'t be trusted to try the fraud and racketeering case against Trump University because his parents were Mexican.</s>']","['</s><s><s><s>So sad when she talks about violence at my rallies, and she caused the violence. It\'s on tape. She caused it. She\'s the one who caused it, and it\'s all on tape, he says. He says it\'s ""sad"" that she\'s talking about violence.</s>']",1.0,summary
20,"Okay. President Trump, this is for you. Since you took office, you’ve never divested from your business. You’ve personally promoted your properties abroad. A report this week, which was referenced, does indicate that your company has a bank account in China. So how can voters know that you don’t have any foreign conflicts of interest?","I have many bank accounts and they’re all listed and they’re all over the place. I mean, I was a businessman doing business. The bank account you’re referring to, which is, everybody knows about it, it’s listed, the bank account was in 2013. That’s what it was. It was opened. It was closed in 2015, I believe. And then I decided, because I was going to do… I was thinking about doing a deal in China, like millions of other people, I was thinking about it and I decided I’m not going to do it, didn’t like it, I decided not to do it, had an account open and I closed it.",3.0,raw
21,"['</s><s>A report this week indicated that your company has a bank account in China. Since you took office, you’ve never divested from your business. So how can voters know that you don’t have any foreign conflicts of interest? It’s not easy, but it can be done.</s>']","['</s><s>I was a businessman doing business. The bank account you’re referring to, which is, everybody knows about it, it’s listed, the bank account was in 2013. It was closed in 2015, I believe. And then I decided, because I was going to do… I was thinking about doing a deal in China, like millions of other people. I decided I’m not going to doing it, didn’t like it, I decided not to do it.</s>']",3.0,summary
22,"Thank you. Affordable Care Act, known as Obamacare, it is not affordable. Premiums have gone up. Deductibles have gone up. Copays have gone up. Prescriptions have gone up. And the coverage has gone down. What will you do to bring the cost down and make coverage better? ","It is such a great question and it's maybe the question I get almost more than anything else, outside of defense. Obamacare is a disaster. You know it. We all know it. It's going up at numbers that nobody's ever seen worldwide. Nobody's ever seen numbers like this for health care. It's only getting worse. In '17, it implodes by itself. Their method of fixing it is to go back and ask Congress for more money, more and more money. We have right now almost $20 trillion in debt. Obamacare will never work. It's very bad, very bad health insurance. Far too expensive. And not only expensive for the person that has it, unbelievably expensive for our country. It's going to be one of the biggest line items very shortly. We have to repeal it and replace it with something absolutely much less expensive and something that works, where your plan can actually be tailored. We have to get rid of the lines around the state, artificial lines, where we stop insurance companies from coming in and competing, because they want -- and President Obama and whoever was working on it -- they want to leave those lines, because that gives the insurance companies essentially monopolies. We want competition. You will have the finest health care plan there is. She wants to go to a single-payer plan, which would be a disaster, somewhat similar to Canada. And if you haven't noticed the Canadians, when they need a big operation, when something happens, they come into the United States in many cases because their system is so slow. It's catastrophic in certain ways. But she wants to go to single payer, which means the government basically rules everything. Hillary Clinton has been after this for years. Obamacare was the first step. Obamacare is a total disaster. And not only are your rates going up by numbers that nobody's ever believed, but your deductibles are going up, so that unless you get hit by a truck, you're never going to be able to use it.",4.0,raw
23,"['</s><s>The Affordable Care Act, known as Obamacare, is not affordable. What will you do to bring the cost down and make coverage better? Please email your story to CNN iReport at jennifer.smith@cnn.com. For confidential support call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or see www.samaritans.org.</s>']","[""</s><s>It is such a great question and it's maybe the question I get almost more than anything else, outside of defense. Obamacare will never work. It's very bad, very bad health insurance. And not only are your rates going up by numbers that nobody's ever believed, but your deductibles are going up. Hillary Clinton has been after this for years.</s>""]",4.0,summary
24,"Governor Pence, let me ask you, you have said Donald Trump is, quote, ""thoughtful, compassionate, and steady."" Yet 67 percent of voters feel he is a risky choice, and 65 percent feel he does not have the right kind of temperament to be president. Why do so many Americans think Mr. Trump is simply too erratic?","Well, let me -- let me say first and foremost that, Senator, you and Hillary Clinton would know a lot about an insult- driven campaign. It really is remarkable. At a time when literally, in the wake of Hillary Clinton's tenure as secretary of state, where she was the architect of the Obama administration's foreign policy, we see entire portions of the world, particularly the wider Middle East, literally spinning out of control. I mean, the situation we're watching hour by hour in Syria today is the result of the failed foreign policy and the weak foreign policy that Hillary Clinton helped lead in this administration and create. The newly emboldened -- the aggression of Russia, whether it was in Ukraine or now they're heavy-handed approach...",3.0,raw
25,"['</s><s>Governor Pence, let me ask you, you have said Donald Trump is, quote, ""thoughtful, compassionate, and steady"" Yet 67 percent of voters feel he is a risky choice. 65 percent feel he does not have the right kind of temperament to be president. Why do so many Americans think Mr. Trump is simply too erratic?</s>']","['</s><s>Sen. Marco Rubio: ""It really is remarkable. At a time when literally, in the wake of Hillary Clinton\'s tenure as secretary of state, where she was the architect of the Obama administration\'s foreign policy, we see entire portions of the world, particularly the wider Middle East, literally spinning out of control""</s>']",3.0,summary
26,"Do the thousands of people that you have stiffed over the course of your business not deserve some kind of apology from someone who has taken their labor, taken the goods that they produced, and then refused to pay them? I can only say that I'm certainly relieved that my late father never did business with you. He provided a good middle-class life for us, but the people he worked for, he expected the bargain to be kept on both sides. And when we talk about your business, you've taken business bankruptcy six times. There are a lot of great businesspeople that have never taken bankruptcy once. You call yourself the King of Debt. You talk about leverage. You even at one time suggested that you would try to negotiate down the national debt of the United States.","So, yeah, I think -- I do think it's time. Look, it's all words, it's all sound bites. I built an unbelievable company. Some of the greatest assets anywhere in the world, real estate assets anywhere in the world, beyond the United States, in Europe, lots of different places. It's an unbelievable company. But on occasion, four times, we used certain laws that are there. And when Secretary Clinton talks about people that didn't get paid, first of all, they did get paid a lot, but taken advantage of the laws of the nation. Now, if you want to change the laws, you've been there a long time, change the laws. But I take advantage of the laws of the nation because I'm running a company. My obligation right now is to do well for myself, my family, my employees, for my companies. And that's what I do. But what she doesn't say is that tens of thousands of people that are unbelievably happy and that love me. I'll give you an example. We're just opening up on Pennsylvania Avenue right next to the White House, so if I don't get there one way, I'm going to get to Pennsylvania Avenue another. But we're opening the Old Post Office. Under budget, ahead of schedule, saved tremendous money. I'm a year ahead of schedule. And that's what this country should be doing. We build roads and they cost two and three and four times what they're supposed to cost. We buy products for our military and they come in at costs that are so far above what they were supposed to be, because we don't have people that know what they're doing. When we look at the budget, the budget is bad to a large extent because we have people that have no idea as to what to do and how to buy. The Trump International is way under budget and way ahead of schedule. And we should be able to do that for our country.",4.0,raw
27,"[""</s><s>Do the thousands of people that you have stiffed over the course of your business not deserve some kind of apology from someone who has taken their labor, and then refused to pay them? I can only say that I'm certainly relieved that my late father never did business with you. He provided a good middle-class life for us, but the people he worked for, he expected the bargain to be kept on both sides.</s>""]","[""</s><s>I built an unbelievable company. Some of the greatest assets anywhere in the world. But on occasion, four times, we used certain laws that are there. My obligation right now is to do well for myself, my family, my employees, for my companies. And that's what I do.</s>""]",4.0,summary
28,"Gentlemen, we’re going to get to your economic plans going forward in a moment, but first, Mr. President, as you well know, there’s a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax each of those years. I know that you pay a lot of other taxes, but I’m asking you this specific question. Is it true that you paid $750 in federal income taxes each of those two years?","I paid millions of dollars in taxes, millions of dollars of income tax. And let me just tell you, there was a story in one of the papers that paid- I paid $38 million one year, I paid $27 million one year.",3.0,raw
29,"['</s><s>Gentlemen, we’re going to get to your economic plans going forward in a moment, but first, Mr. President, as you well know, there’s a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax each of those years. I know that you pay a lot of other taxes, but I’m asking you this specific question.</s>']","[""</s><s>I paid millions of dollars in taxes, millions of income tax. And let me just tell you, there was a story in one of the papers that paid- I paid $38 million one year, I paid £27 million oneyear. That's how much I paid in taxes.</s>""]",3.0,summary
30,"They say the stock market will boom if I’m elected. If he’s elected, the stock market will crash.","Look, the idea that the stock market is booming is his only measure of what’s happening. Where I come from in Scranton and Claymont, the people don’t live off of the stock market. Just in the last three years, during this crisis, the billionaires in this country made, according to Wall Street, 700 billion more dollars. 700 billion more dollars. Because that’s his only measure. What happens to the ordinary people out there? What happens to them?",4.0,raw
31,"[""</s><s>They say the stock market will boom if I’m elected. If he’s elected, the stockMarket will crash. They say the Stock Market will Boom if I'm elected. The Stock Market Will Crash If I'm Elected. If He's Elected, The Stock market will Crash. If They’re elected, The stock Market will Crash If They're elected.</s>""]","['</s><s>The idea that the stock market is booming is his only measure of what’s happening. Just in the last three years, during this crisis, the billionaires in this country made, according to Wall Street, 700 billion more dollars. What happens to the ordinary people out there?</s>']",4.0,summary
32,Your rallies don’t require masks.,"I mean, let’s see, Kamala. She’s got people now, people have it, and I’m not blaming her. I’m not saying, “Oh, she did a terrible thing.” As President, I have to be out there. I can’t be in a basement. I can’t be locked in a very beautiful room someplace in the White House. And I want to see the gold star families, and I want to see everybody. And I also say to people all the time, it’s risky doing it. It is risky doing it.",4.0,raw
33,"[""</s><s><s>Your rallies don’t require masks. Your rallies don't require masks, says the president of the U.S. Women’s March on Washington. “We’re not here to wear masks,” President Barack Obama said. � “I’m here to be a president.”</s>""]","[""</s><s>I mean, let's see, Kamala. She’s got people now, people have it, and I’m not blaming her. I'm not saying, “Oh, she did a terrible thing.” As President, I have to be out there. I can’t be in a basement. And I want to see the gold star families.</s>""]",4.0,summary
34,"I have, and they have pushed it. Look, they passed this act all the way back in the beginning of the summer. It’s not new. It’s been out there. This HEROES Act has been sitting there. And look at what’s happening. When I was in charge of the recovery act with $800 billion, I was able to get $145 billion to local communities that have to balance their budgets and states that have to balance their budgets. And then they have to fire firefighters, teachers, first responders, law enforcement officers, so they could keep their cities and counties running. He will not support that. They have not done a thing for them. And Mitch McConnell said, “Let them go bankrupt. Let them go bankrupt.” Come on. What’s the matter with these guys?","The bill that was passed in the House was a bailout of badly run, high crime, Democrat, all run by Democrat cities and states. It was a way of getting a lot of money, billions and billions of dollars, to these guys. It was also a way of getting a lot of money from our people’s pockets to people that come into our country illegally. We were going to take care of everything for them. And I’d love to do that. I’d love to help them. But what that does, everybody all over the world will start pouring into our country. We can’t do it. This was a way of taking care of them. This was a way of spending on things that had nothing to do with COVID, as per your question. But it was really a big bailout for badly run Democrat cities and states.",4.0,raw
35,"['</s><s>I have, and they have pushed it. Look, they passed this act all the way back in the beginning of the summer. And look at what’s happening. When I was in charge of the recovery act with $800 billion, I was able to get $145 billion to local communities that have to balance their budgets.</s>']","['</s><s>The bill that was passed in the House was a bailout of badly run, high crime, Democrat, all run by Democrat cities and states. It was a way of getting a lot of money, billions and billions of dollars, to these guys. We were going to take care of everything for them. And I’d love to do that. But what that does, everybody all over the world will start pouring into our country.</s>']",4.0,summary
36,I cannot believe that Governor Pence would sit here and defend his running mate's claim that we should create a deportation force to -- so that they'll all be gone.,"Senator, we have a deportation force. It's called Immigrations and Customs Enforcement. And the union for Immigrations and Customs Enforcement for the first time in their history endorsed Donald Trump to be the next president of the United States of America.",3.0,raw
37,"[""</s><s><s>I cannot believe that Governor Pence would sit here and defend his running mate's claim that we should create a deportation force to -- so that they'll all be gone. I can't believe that Gov. Pence would say that. I don't think that he would. I think that that's a very, very bad idea.</s>""]","[""</s><s>Senator: We have a deportation force. It's called Immigrations and Customs Enforcement. For the first time in their history endorsed Donald Trump to be the next president of the United States of America. The union for Immigrated and Customs. Enforcement for the first Time in their History endorsed Donald. Trump.</s>""]",3.0,summary
38,"He stood on the stage last week and when Hillary said, you haven't been paying taxes, he said, ""That makes me smart."" So it's smart not to pay for our military? It's smart not to pay for veterans? It's smart not to pay for teachers? And I guess all of us who do pay for those things, I guess we're stupid. And the last thing I'll say is this...","Look, Donald Trump has filed over 100 pages of financial disclosure, which is what the law requires.",3.0,raw
39,"['</s><s>He stood on the stage last week and when Hillary said, you haven\'t been paying taxes, he said, ""That makes me smart."" So it\'s smart not to pay for our military? It\'s smartnot to pay. for veterans? And I guess all of us who do pay for those things, I guess we\'re stupid.</s>']","[""</s><s><s><s>Look, Donald Trump has filed over 100 pages of financial disclosure, which is what the law requires. The law requires him to do so. He has filed more than 100 pages. He should have done it sooner, not later. It's a good thing he did.</s>""]",3.0,summary
40,"Look, the idea that the stock market is booming is his only measure of what’s happening. Where I come from in Scranton and Claymont, the people don’t live off of the stock market. Just in the last three years, during this crisis, the billionaires in this country made, according to Wall Street, 700 billion more dollars. 700 billion more dollars. Because that’s his only measure. What happens to the ordinary people out there? What happens to them?",And he doesn’t come from Scranton. He lived there for a short period of time before he even knew it.,1.0,raw
41,"['</s><s>The idea that the stock market is booming is his only measure of what’s happening. Just in the last three years, during this crisis, the billionaires in this country made, according to Wall Street, 700 billion more dollars. What happens to the ordinary people out there?</s>']","[""</s><s><s>And he doesn't come from Scranton. He lived there for a short period of time before he even knew it. He doesn't even come from the city. He didn't even know he was there. He just lived there. For more on this story, visit CNN.com/sport.</s>""]",1.0,summary
42,"I will not sit here and be lectured by the Vice President on what it means to enforce the laws of our country. The only one on this stage, who has personally prosecuted everything from child sexual assault to homicide. I’m the only one on this stage who has prosecuted the big banks for taking advantage of America’s homeowners. I am the only one on this stage who prosecuted for-profit colleges for taking advantage of our veterans. And the reality of this is that we are talking about an election in 27 days where last week the President of the United States took a debate stage in front of 70 million Americans and refused to condemn white supremacists.",Not. Not true.,3.0,raw
43,"['</s><s>I will not sit here and be lectured by the Vice President on what it means to enforce the laws of our country. The only one on this stage, who has personally prosecuted everything from child sexual assault to homicide. I am the only one who prosecuted for-profit colleges for taking advantage of our veterans. And the reality of this is that we are talking about an election in 27 days.</s>']","['</s><s><s><s>Not. Not true. Not. not true. not. true. It\'s not true at all. It was a lie. It wasn\'t true. There is no such thing as a ""golden calf"" or a golden calf. It is not a real thing.</s>']",3.0,summary
44,"And why did it morph into that? No, did you -- no, answer the question. Do you still believe... ",Why don't you interrupt her? You interrupt me all the time.,1.0,raw
45,"[""</s><s><s>And why did it morph into that? No, did you -- no, answer the question. Do you still believe...  Do you believe in God? Yes, I do. I still believe in god. I don't believe in Jesus Christ. I believe in the Bible.</s>""]","['</s><s><s><s>Why don\'t you interrupt her? You interrupt me all the time, he says. ""I\'m not interrupting her. Why don\'t I interrupt her?"" he asks. ""You interrupt her all thetime. You\'re interrupting me all of the time,"" she replies.</s>']",1.0,summary
46,"But there's a -- there's a reason why people question the trustworthiness of Hillary Clinton. And that's because they're paying attention. I mean, the reality is, when she was secretary of state, Senator, come on. She had a Clinton Foundation accepting contributions from foreign governments.",You are Donald Trump's apprentice. Let me talk about this...,1.0,raw
47,"[""</s><s>There's a reason why people question the trustworthiness of Hillary Clinton. When she was secretary of state, Senator, come on. She had a Clinton Foundation accepting contributions from foreign governments. And that's because they're paying attention. It's not a secret. It is a very, very serious matter.</s>""]","[""</s><s><s><s>You are Donald Trump's apprentice. Let me talk about this. Let's talk about it. You are DonaldTrump's apprentice, Donald Trump. Let us talk about that. You're Donald Trump’s apprentice. We’re talking about Donald Trump, Donald.</s>""]",1.0,summary
48,"During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this.",That’s simply not true.,3.0,raw
49,"[""</s><s>During that period of time, we have an opening. I'm not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care.</s>""]","[""</s><s><s><s>That’s simply not true. That's simply not how it happened. It's not true at all. And it's never been true at any point in the history of the U.S. military. It never has been. Never will be. Never.</s>""]",3.0,summary
